codi_grup;arxiu;codi_arxiu;fons;codi_fons;tipus_unitat;cod_unitat;codi_referencia;unitat_installacio;nivell_descripcio;titol_unitat_documental;cronologia;data_inici;continu-discontinu;data_fi;sense_data;classificacio;codi_classificacio;procedencia;codi_procedencia;serie_cataleg;codi_serie_cataleg;expedient_inicial;expedient_final;descripcio;observacions;reportatge;volum;llogaret;municipi_longitud;municipi_latitud;llogaret_longitud;llogaret_latitud;impremta;diposit_legal;total_objectes_digitals;codi_reprografia;data_publicacio;data_descarrega;enllac_objecte_digital
ANC;Arxiu Nacional de Catalunya;1;LLEI 21 DEL 2005 DE RESTITUCIÓ A LA GENERALITAT DE CATALUNYA;886;T;12740;ANC1-886-T-12740;;Unitat d'instal?lació;Expedients d'afiliats, ordenats alfabèticament, de: Durán i Rindort, Manuel a Niubó i Cos, Joan;1900 - 1937;01-01-1900;-;31-12-1937;N;PS Madrid;06000000000000;CADCI - Centre Autonomista de Dependents del Comerç i de la Indústria;0030700000000000;;;;;"VOLUM: 18 unitats documentals = 18 expedients (249 imatges)/

LLENGÜES: Català/Castellà

NOTA DE PRODUCTOR [atribuït pel CDMH]: UGT. CENTRE AUTONOMISTA DE DEPENDENTS DEL COMERÇ I DE LA INDÚSTRIA DE BARCELONA (CADCI)

NOTA DE TÍTOL [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Durán i Rindort, Manuel a Niubó i Cos, Joan

NOTA D'ABAST I CONTINGUT [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Durán i Rindort, Manuel a Niubó i Cos, Joan. Contiene fotografías, tarjetas postales y tarjetas de visita

HISTÒRIA ARXIVÍSTICA:
Signatura DNSD (documentació confiscada pels serveis de Recuperación de Documentos, la DERD): PS-MADRID,2691,2/
Signatura retorn: Caixa 33, Capsa 197/";"Accés a les imatges: CDMH_PS_MAD_C2691_Exp002/
Unitat d'instal·lació provisional: 197 (1a transferència 2014)/.  .  .";;;;;;;;;;249;1012740.0001 - 1012740.0249;26/01/2022;25/03/2023;https://arxiusenlinia.cultura.gencat.cat/#/cercabasica/detallunitat/ANC1-886-T-12740
ANC;Arxiu Nacional de Catalunya;1;LLEI 21 DEL 2005 DE RESTITUCIÓ A LA GENERALITAT DE CATALUNYA;886;T;12735;ANC1-886-T-12735;;Unitat d'instal?lació;Expedients d'afiliats, ordenats alfabèticament, de: Dalmau Dalmau, Joan a Pujadas i Font, Enric;1900 - 1938;01-01-1900;-;31-12-1938;N;PS Madrid;06000000000000;CADCI - Centre Autonomista de Dependents del Comerç i de la Indústria;0030700000000000;;;;;"VOLUM: 31 unitats documentals = 31 expedients (365 imatges)/

LLENGÜES: Català/Castellà

NOTA DE PRODUCTOR [atribuït pel CDMH]: UGT. CENTRE AUTONOMISTA DE DEPENDENTS DEL COMERÇ I DE LA INDÚSTRIA DE BARCELONA (CADCI)

NOTA DE TÍTOL [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Dalmau Dalmau, Joan a Pujadas i Font, Enric

NOTA D'ABAST I CONTINGUT [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Dalmau Dalmau, Joan a Pujadas i Font, Enric. Contiene fotografías y tarjetas de visita

HISTÒRIA ARXIVÍSTICA:
Signatura DNSD (documentació confiscada pels serveis de Recuperación de Documentos, la DERD): PS-MADRID,2673,3/
Signatura retorn: Caixa 31, Capsa 187/";"Accés a les imatges: CDMH_PS_MAD_C2673_Exp003/
Unitat d'instal·lació provisional: 187 (1a transferència 2014)/.  .  .";;;;;;;;;;365;1012735.0001 - 1012735.0365;26/01/2022;25/03/2023;https://arxiusenlinia.cultura.gencat.cat/#/cercabasica/detallunitat/ANC1-886-T-12735
ANC;Arxiu Nacional de Catalunya;1;LLEI 21 DEL 2005 DE RESTITUCIÓ A LA GENERALITAT DE CATALUNYA;886;T;12725;ANC1-886-T-12725;;Unitat d'instal?lació;Expedients d'afiliats, ordenats alfabèticament, de: Aguiló i Pomar, Joan a Cucalón Vicente, Mariano;1900 - 1938;01-01-1900;-;31-12-1938;N;PS Madrid;06000000000000;CADCI - Centre Autonomista de Dependents del Comerç i de la Indústria;0030700000000000;;;;;"VOLUM: 26 unitats documentals = 26 expedients (326 imatges)/

LLENGÜES: Català/Castellà

NOTA DE PRODUCTOR [atribuït pel CDMH]: UGT. CENTRE AUTONOMISTA DE DEPENDENTS DEL COMERÇ I DE LA INDÚSTRIA DE BARCELONA (CADCI)

NOTA DE TÍTOL [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Aguiló i Pomar, Joan a Cucalón Vicente, Mariano

NOTA D'ABAST I CONTINGUT [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Aguiló i Pomar, Joan a Cucalón Vicente, Mariano. Contiene fotografías y tarjetas de visita

HISTÒRIA ARXIVÍSTICA:
Signatura DNSD (documentació confiscada pels serveis de Recuperación de Documentos, la DERD): PS-MADRID,2673,2/
Signatura retorn: Caixa 31, Capsa 187/";"Accés a les imatges: CDMH_PS_MAD_C2673_Exp002/
Unitat d'instal·lació provisional: 187 (1a transferència 2014)/.  .  .";;;;;;;;;;326;1012725.0001 - 1012725.0326;26/01/2022;25/03/2023;https://arxiusenlinia.cultura.gencat.cat/#/cercabasica/detallunitat/ANC1-886-T-12725
ANC;Arxiu Nacional de Catalunya;1;LLEI 21 DEL 2005 DE RESTITUCIÓ A LA GENERALITAT DE CATALUNYA;886;T;12750;ANC1-886-T-12750;;Unitat d'instal?lació;Expedients d'afiliats, ordenats alfabèticament, de: Hernández Bernal, Florencio a Viñas Raventós, Antoni;1900 - 1938;01-01-1900;-;31-12-1938;N;PS Madrid;06000000000000;CADCI - Centre Autonomista de Dependents del Comerç i de la Indústria;0030700000000000;;;;;"VOLUM: 35 unitats documentals = 35 expedients (253 imatges)/

LLENGÜES: Català/Castellà

NOTA DE PRODUCTOR [atribuït pel CDMH]: UGT. CENTRE AUTONOMISTA DE DEPENDENTS DEL COMERÇ I DE LA INDÚSTRIA DE BARCELONA (CADCI)

NOTA DE TÍTOL [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Hernández Bernal, Florencio a Viñas Raventós, Antoni

NOTA D'ABAST I CONTINGUT [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Hernández Bernal, Florencio a Viñas Raventós, Antoni. Contiene fotografías

HISTÒRIA ARXIVÍSTICA:
Signatura DNSD (documentació confiscada pels serveis de Recuperación de Documentos, la DERD): PS-MADRID,2695,3/
Signatura retorn: Caixa 34, Capsa 201/";"Accés a les imatges: CDMH_PS_MAD_C2695_Exp003/
Unitat d'instal·lació provisional: 201 (1a transferència 2014)/.  .  .";;;;;;;;;;253;1012750.0001 - 1012750.0253;26/01/2022;25/03/2023;https://arxiusenlinia.cultura.gencat.cat/#/cercabasica/detallunitat/ANC1-886-T-12750
ANC;Arxiu Nacional de Catalunya;1;LLEI 21 DEL 2005 DE RESTITUCIÓ A LA GENERALITAT DE CATALUNYA;886;T;12842;ANC1-886-T-12842;;Unitat d'instal?lació;Expedients d'afiliats, ordenats alfabèticament, de: Fiol, Baltasar a Reynés Marfani, Joan;1905 - 1937;01-01-1905;-;31-12-1937;N;PS Madrid;06000000000000;CADCI - Centre Autonomista de Dependents del Comerç i de la Indústria;0030700000000000;;;;;"VOLUM: 30 unitats documentals = 30 expedients (266 imatges)/

LLENGÜES: Català/Castellà

NOTA DE PRODUCTOR [atribuït pel CDMH]: UGT. CENTRE AUTONOMISTA DE DEPENDENTS DEL COMERÇ I DE LA INDÚSTRIA DE BARCELONA (CADCI)

NOTA DE TÍTOL [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Fiol, Baltasar a Reynés Marfani, Joan

NOTA D'ABAST I CONTINGUT [segons PARES]: Expedientes de afiliados, ordenados alfabéticamente de Fiol, Baltasar a Reynés Marfani, Joan. Contiene fotografías y acompaña tarjetas postales

HISTÒRIA ARXIVÍSTICA:
Signatura DNSD (documentació confiscada pels serveis de Recuperación de Documentos, la DERD): PS-MADRID,2693,2/
Signatura retorn: Caixa 33, Capsa 199/";"Accés a les imatges: CDMH_PS_MAD_C2693_Exp002/
Unitat d'instal·lació provisional: 199 (1a transferència 2014)/.  .  .";;;;;;;;;;266;1012842.0001 - 1012842.0266;26/01/2022;25/03/2023;https://arxiusenlinia.cultura.gencat.cat/#/cercabasica/detallunitat/ANC1-886-T-12842
ANC;Arxiu Nacional de Catalunya;1;LLEI 21 DEL 2005 DE RESTITUCIÓ A LA GENERALITAT DE CATALUNYA;886;T;12863;ANC1-886-T-12863;;Unitat d'instal?lació;Expedients d'afiliats, ordenats alfabèticament, de: Layret Foix, Antidi a Zurbano Bosch, Joan M;1906 - 1939;01-01-1906;-;31-12-1939;N;PS Madrid;06000000000000;CADCI - Centre Autonomista de Dependents del Comerç i de la Indústria;0030700000000000;;;;;"VOLUM: 42 unitats documentals = 42 expedients (297 imatges)/

LLENGÜES: Català

NOTA DE PRODUCTOR [atribuït pel CDMH]: UGT. CENTRE AUTONOMISTA DE DEPENDENTS DEL COMERÇ I DE LA INDÚSTRIA DE BARCELONA (CADCI)

NOTA DE TÍTOL [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Layret Foix, Antidi a Zurbano Bosch, Joan M.

NOTA D'ABAST I CONTINGUT [segons PARES]: Expedientes de afiliados, ordenados alfabéticamente de Layret Foix, Antidi a Zurbano Bosch, Joan M.. Acompañan fotografías

HISTÒRIA ARXIVÍSTICA:
Signatura DNSD (documentació confiscada pels serveis de Recuperación de Documentos, la DERD): PS-MADRID,2623,2/
Signatura retorn: Caixa 26, Capsa 153/";"Accés a les imatges: CDMH_PS_MAD_C2623_Exp002/
Unitat d'instal·lació provisional: 153 (1a transferència 2014)/.  .  .";;;;;;;;;;297;1012863.0001 - 1012863.0297;26/01/2022;25/03/2023;https://arxiusenlinia.cultura.gencat.cat/#/cercabasica/detallunitat/ANC1-886-T-12863
ANC;Arxiu Nacional de Catalunya;1;LLEI 21 DEL 2005 DE RESTITUCIÓ A LA GENERALITAT DE CATALUNYA;886;T;12769;ANC1-886-T-12769;;Unitat d'instal?lació;Expedients d'afiliats, ordenats alfabèticament, de: Abadal Casas, Ángel a Lluch i Guñalons, Josep;1906 - 1938;01-01-1906;-;31-12-1938;N;PS Madrid;06000000000000;CADCI - Centre Autonomista de Dependents del Comerç i de la Indústria;0030700000000000;;;;;"VOLUM: 60 unitats documentals = 60 expedients (387 imatges)/

LLENGÜES: Català/Castellà

NOTA DE PRODUCTOR [atribuït pel CDMH]: UGT. CENTRE AUTONOMISTA DE DEPENDENTS DEL COMERÇ I DE LA INDÚSTRIA DE BARCELONA (CADCI)

NOTA DE TÍTOL [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Abadal Casas, Ángel a Lluch i Guñalons, Josep

NOTA D'ABAST I CONTINGUT [segons PARES]: Expedientes de afiliados, ordenados alfabéticamente de Abadal Casas, Ángel a Lluch i Guñalons, Josep. Algunos contienen fotografía y uno está incompleto

HISTÒRIA ARXIVÍSTICA:
Signatura DNSD (documentació confiscada pels serveis de Recuperación de Documentos, la DERD): PS-MADRID,2630,1/
Signatura retorn: Caixa 27, Capsa 160/";"Accés a les imatges: CDMH_PS_MAD_C2630_Exp001/
Unitat d'instal·lació provisional: 160 (1a transferència 2014)/.  .  .";;;;;;;;;;387;1012769.0001 - 1012769.0387;26/01/2022;25/03/2023;https://arxiusenlinia.cultura.gencat.cat/#/cercabasica/detallunitat/ANC1-886-T-12769
ANC;Arxiu Nacional de Catalunya;1;LLEI 21 DEL 2005 DE RESTITUCIÓ A LA GENERALITAT DE CATALUNYA;886;T;12802;ANC1-886-T-12802;;Unitat d'instal?lació;Expedients d'afiliats, ordenats alfabèticament, de: Albiol Guinart, Josep a Jové Vergés, Antonio;1906 - 1939;01-01-1906;-;31-12-1939;N;PS Madrid;06000000000000;CADCI - Centre Autonomista de Dependents del Comerç i de la Indústria;0030700000000000;;;;;"VOLUM: 42 unitats documentals = 42 expedients (283 imatges)/

LLENGÜES: Català

NOTA DE PRODUCTOR [atribuït pel CDMH]: UGT. CENTRE AUTONOMISTA DE DEPENDENTS DEL COMERÇ I DE LA INDÚSTRIA DE BARCELONA (CADCI)

NOTA DE TÍTOL [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Albiol Guinart, Josep a Jové Vergés, Antonio

NOTA D'ABAST I CONTINGUT [segons PARES]: Expedientes de afiliados, ordenados alfabéticamente de Albiol Guinart, Josep a Jové Vergés, Antonio. Acompañan fotografías

HISTÒRIA ARXIVÍSTICA:
Signatura DNSD (documentació confiscada pels serveis de Recuperación de Documentos, la DERD): PS-MADRID,2623,1/
Signatura retorn: Caixa 26, Capsa 153/";"Accés a les imatges: CDMH_PS_MAD_C2623_Exp001/
Unitat d'instal·lació provisional: 153 (1a transferència 2014)/.  .  .";;;;;;;;;;283;1012802.0001 - 1012802.0283;26/01/2022;25/03/2023;https://arxiusenlinia.cultura.gencat.cat/#/cercabasica/detallunitat/ANC1-886-T-12802
ANC;Arxiu Nacional de Catalunya;1;LLEI 21 DEL 2005 DE RESTITUCIÓ A LA GENERALITAT DE CATALUNYA;886;T;12875;ANC1-886-T-12875;;Unitat d'instal?lació;Expedients d'afiliats, ordenats alfabèticament, de: Martí i Torres, Josep Maria a Vives Poblet, Félix;1907 - 1938;01-01-1907;-;31-12-1938;N;PS Madrid;06000000000000;CADCI - Centre Autonomista de Dependents del Comerç i de la Indústria;0030700000000000;;;;;"VOLUM: 35 unitats documentals = 35 expedients (253 imatges)/

LLENGÜES: Català/Castellà

NOTA DE PRODUCTOR [atribuït pel CDMH]: UGT. CENTRE AUTONOMISTA DE DEPENDENTS DEL COMERÇ I DE LA INDÚSTRIA DE BARCELONA (CADCI)

NOTA DE TÍTOL [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Martí i Torres, Josep Maria a Vives Poblet, Félix

NOTA D'ABAST I CONTINGUT [segons PARES]: Expedientes de afiliados, ordenados alfabéticamente de Martí i Torres, Josep Maria a Vives Poblet, Félix. Contienen fotografías, tarjetas de visita y tarjetas postales

HISTÒRIA ARXIVÍSTICA:
Signatura DNSD (documentació confiscada pels serveis de Recuperación de Documentos, la DERD): PS-MADRID,2694,3/
Signatura retorn: Caixa 33, Capsa 200/";"Accés a les imatges: CDMH_PS_MAD_C2694_Exp003/
Unitat d'instal·lació provisional: 200 (1a transferència 2014)/.  .  .";;;;;;;;;;253;1012875.0001 - 1012875.0253;26/01/2022;25/03/2023;https://arxiusenlinia.cultura.gencat.cat/#/cercabasica/detallunitat/ANC1-886-T-12875
ANC;Arxiu Nacional de Catalunya;1;LLEI 21 DEL 2005 DE RESTITUCIÓ A LA GENERALITAT DE CATALUNYA;886;T;12876;ANC1-886-T-12876;;Unitat d'instal?lació;Expedients d'afiliats, ordenats alfabèticament, de: Morera Vidal, Joan a Zapatero Crespo, Joan;01.1908 - 06.1938;01-01-1908;-;30-06-1938;N;PS Madrid;06000000000000;CADCI - Centre Autonomista de Dependents del Comerç i de la Indústria;0030700000000000;;;;;"VOLUM: 32 unitats documentals = 32 expedients (189 imatges)/

LLENGÜES: Català/Castellà

NOTA DE PRODUCTOR [atribuït pel CDMH]: UGT. CENTRE AUTONOMISTA DE DEPENDENTS DEL COMERÇ I DE LA INDÚSTRIA DE BARCELONA (CADCI)

NOTA DE TÍTOL [segons PARES]: Expedientes de afiliados ordenados alfabéticamente de Morera Vidal, Joan a Zapatero Crespo, Joan

NOTA D'ABAST I CONTINGUT [segons PARES]: Expedientes de afiliados, ordenados alfabéticamente de Morera Vidal, Joan a Zapatero Crespo, Joan. Contienen fotografías

HISTÒRIA ARXIVÍSTICA:
Signatura DNSD (documentació confiscada pels serveis de Recuperación de Documentos, la DERD): PS-MADRID,2689,3/
Signatura retorn: Caixa 33, Capsa 195/";"Accés a les imatges: CDMH_PS_MAD_C2689_Exp003/
Unitat d'instal·lació provisional: 195 (1a transferència 2014)/.  .  .";;;;;;;;;;189;1012876.0001 - 1012876.0189;26/01/2022;25/03/2023;https://arxiusenlinia.cultura.gencat.cat/#/cercabasica/detallunitat/ANC1-886-T-12876
